A,B,C,D,,,
Frost01,Frost02,Frost03,,"Frost02,Frost03",0,0
Frost02,Frost04,,,Frost04,-1,1
Frost03,Frost05,,,Frost05,1,1
Frost04,Frost06,,,Frost06,-1,2
Frost05,Frost07,Frost08,,"Frost07,Frost08",1,2
Frost06,Frost09,Frost10,,"Frost09,Frost10",-2,3
Frost07,Frost11,,,Frost11,0,3
Frost08,Frost12,Frost13,,"Frost12,Frost13",2,3
Frost09,Frost14,,,Frost14,-2,4
Frost10,Frost15,,,Frost15,-1,4
Frost11,,,,,0,4
Frost12,Frost15,Frost16,,"Frost15,Frost16",1,4
Frost13,Frost17,,,Frost17,3,4
Frost14,Frost18,Frost19,,"Frost18,Frost19",-2,5
Frost15,,,,,0,5
Frost16,Frost20,,,Frost20,1,5
Frost17,Frost21,,,Frost21,2,5
Frost18,Frost22,,,Frost22,-3,6
Frost19,Frost23,Frost24,,"Frost23,Frost24",-1,6
Frost20,Frost24,,,Frost24,1,6
Frost21,Frost28,,,Frost28,2,6
Frost22,,,,,-2,7
Frost23,Frost26,,,Frost26,-1,7
Frost24,Frost25,,,Frost25,0,7
Frost25,Frost27,,,Frost27,1,8
Frost26,Frost29,,,Frost29,-1,9
Frost27,,,,,0,9
Frost28,,,,,2,9
Frost29,Frost30,,,Frost30,0,10
Frost30,,,,,0,11
