A,B,C,D,,,
Wildp01,Wildp02,Wildp03,Wildp04,"Wildp02,Wildp03,Wildp04",0,0
Wildp02,Wildp05,,,Wildp05,-1,1
Wildp03,Wildp06,,,Wildp06,0,1
Wildp04,Wildp07,,,Wildp07,1,1
Wildp05,Wildp09,,,Wildp09,-1,2
Wildp06,Wildp10,,,Wildp10,0,2
Wildp07,Wildp11,,,Wildp11,1,2
Wildp08,Wildp26,,,Wildp26,-3,3
Wildp09,Wildp08,Wildp13,Wildp14,"Wildp08,Wildp13,Wildp14",-2,3
Wildp10,Wildp14,Wildp15,Wildp16,"Wildp14,Wildp15,Wildp16",0,3
Wildp11,Wildp12,Wildp16,Wildp17,"Wildp12,Wildp16,Wildp17",2,3
Wildp12,Wildp30,,,Wildp30,3,3
Wildp13,Wildp21,,,Wildp21,-2,4
Wildp14,Wildp18,Wildp19,,"Wildp18,Wildp19",-1,4
Wildp15,,,,,0,4
Wildp16,Wildp19,Wildp20,,"Wildp19,Wildp20",1,4
Wildp17,Wildp25,,,Wildp25,2,4
Wildp18,Wildp22,,,Wildp22,-1,5
Wildp19,Wildp23,,,Wildp23,0,5
Wildp20,Wildp24,,,Wildp24,1,5
Wildp21,Wildp26,Wildp31,,"Wildp26,Wildp31",-2,6
Wildp22,Wildp27,Wildp28,,"Wildp27,Wildp28",-1,6
Wildp23,,,,,0,6
Wildp24,Wildp28,Wildp29,,"Wildp28,Wildp29",1,6
Wildp25,Wildp30,Wildp33,,"Wildp30,Wildp33",2,6
Wildp26,Wildp31,,,Wildp31,-3,7
Wildp27,,,,,-1,7
Wildp28,Wildp32,,,Wildp32,0,7
Wildp29,,,,,1,7
Wildp30,Wildp33,,,Wildp33,3,7
Wildp31,Wildp34,Wildp35,,"Wildp34,Wildp35",-2,8
Wildp32,Wildp39,Wildp40,Wildp41,"Wildp39,Wildp40,Wildp41",0,8
Wildp33,Wildp36,Wildp37,,"Wildp36,Wildp37",2,8
Wildp34,,,,,-3,9
Wildp35,Wildp38,Wildp39,,"Wildp38,Wildp39",-2,9
Wildp36,Wildp41,Wildp42,,"Wildp41,Wildp42",2,9
Wildp37,,,,,3,9
Wildp38,,,,,-2,10
Wildp39,Wildp43,Wildp44,,"Wildp43,Wildp44",-1,10
Wildp40,Wildp45,,,Wildp45,0,10
Wildp41,Wildp46,Wildp47,,"Wildp46,Wildp47",1,10
Wildp42,,,,,2,10
Wildp43,,,,,-2,11
Wildp44,Wildp48,,,Wildp48,-1,11
Wildp45,Wildp48,Wildp49,Wildp51,"Wildp48,Wildp49,Wildp51",0,11
Wildp46,Wildp49,,,Wildp49,1,11
Wildp47,,,,,2,11
Wildp48,Wildp50,,,Wildp50,-1,12
Wildp49,Wildp52,,,Wildp52,1,12
Wildp50,Wildp53,,,Wildp53,-2,13
Wildp51,Wildp54,,,Wildp54,0,13
Wildp52,Wildp55,,,Wildp55,2,13
Wildp53,Wildp56,,,Wildp56,-1,14
Wildp54,Wildp56,Wildp57,Wildp59,"Wildp56,Wildp57,Wildp59",0,14
Wildp55,Wildp57,,,Wildp57,1,14
Wildp56,Wildp58,,,Wildp58,-1,15
Wildp57,Wildp60,,,Wildp60,1,15
Wildp58,,,,,-1,16
Wildp59,,,,,0,16
Wildp60,,,,,1,16
