A,B,C,D,,,,,Block01,,,,Block02,0,0
Block01,Block02,Block03,,"Block02,Block03",0,0,  ,Block02,Block03,Block04,,"Block03,Block04",0,1
Block02,Block04,Block05,,"Block04,Block05",-1,1,,Block03,Block05,Block06,,"Block05,Block06",-1,2
Block03,Block05,Block06,,"Block05,Block06",1,1,,Block04,Block06,Block07,,"Block06,Block07",1,2
Block04,,,,,-2,2,,Block05,,,,,-2,3
Block05,Block07,,,Block07,0,2,,Block06,Block08,,,Block08,0,3
Block06,,,,,2,2,,Block07,,,,,2,3
Block07,Block09,,,Block09,-1,3,,Block08,Block10,,,Block10,-1,4
Block08,Block11,Block12,,"Block11,Block12",-1,4,,Block09,Block12,Block13,,"Block12,Block13",-1,5
Block09,Block08,Block10,Block20,"Block08,Block10,Block20",0,4,,Block10,Block09,Block11,Block21,"Block09,Block11,Block21",0,5
Block10,Block13,Block14,,"Block13,Block14",1,4,,Block11,Block14,Block15,,"Block14,Block15",1,5
Block11,,,,,-2,5,,Block12,,,,,-2,6
Block12,Block15,Block16,,"Block15,Block16",-1,5,,Block13,Block16,Block17,,"Block16,Block17",-1,6
Block13,Block17,Block18,,"Block17,Block18",1,5,,Block14,Block18,Block19,,"Block18,Block19",1,6
Block14,,,,,2,5,,Block15,,,,,2,6
Block15,,,,,-2,6,,Block16,,,,,-2,7
Block16,Block19,Block20,,"Block19,Block20",-1,6,,Block17,Block20,Block21,,"Block20,Block21",-1,7
Block17,Block20,Block21,,"Block20,Block21",1,6,,Block18,Block21,Block22,,"Block21,Block22",1,7
Block18,,,,,2,6,,Block19,,,,,2,7
Block19,Block22,Block23,,"Block22,Block23",-2,7,,Block20,Block23,Block24,,"Block23,Block24",-2,8
Block20,Block23,Block24,,"Block23,Block24",0,7,,Block21,Block24,Block25,,"Block24,Block25",0,8
Block21,Block24,Block25,,"Block24,Block25",2,7,,Block22,Block25,Block26,,"Block25,Block26",2,8
Block22,Block28,,,Block28,-3,8,,Block23,Block29,,,Block29,-3,9
Block23,Block26,Block28,,"Block26,Block28",-1,8,,Block24,Block27,Block29,,"Block27,Block29",-1,9
Block24,Block27,Block29,,"Block27,Block29",1,8,,Block25,Block28,Block30,,"Block28,Block30",1,9
Block25,Block29,,,Block29,3,8,,Block26,Block30,,,Block30,3,9
Block26,Block30,Block31,,"Block30,Block31",-1,9,,Block27,Block31,Block32,,"Block31,Block32",-1,10
Block27,Block31,Block32,,"Block31,Block32",1,9,,Block28,Block32,Block33,,"Block32,Block33",1,10
Block28,Block33,,,Block33,-2,10,,Block29,Block34,,,Block34,-2,11
Block29,Block35,,,Block35,2,10,,Block30,Block36,,,Block36,2,11
Block30,Block33,Block34,,"Block33,Block34",-1,11,,Block31,Block34,Block35,,"Block34,Block35",-1,12
Block31,Block34,,,Block34,0,11,,Block32,Block35,,,Block35,0,12
Block32,Block34,Block35,,"Block34,Block35",1,11,,Block33,Block35,Block36,,"Block35,Block36",1,12
Block33,Block36,Block37,,"Block36,Block37",-2,12,,Block34,Block37,Block38,,"Block37,Block38",-2,13
Block34,Block37,Block38,Block39,"Block37,Block38,Block39",0,12,,Block35,Block38,Block39,Block40,"Block38,Block39,Block40",0,13
Block35,Block39,Block40,,"Block39,Block40",2,12,,Block36,Block40,Block41,,"Block40,Block41",2,13
Block36,Block41,Block42,,"Block41,Block42",-2,13,,Block37,Block42,Block43,,"Block42,Block43",-2,14
Block37,Block42,Block43,,"Block42,Block43",-1,13,,Block38,Block43,Block44,,"Block43,Block44",-1,14
Block38,Block44,,,Block44,0,13,,Block39,Block45,,,Block45,0,14
Block39,Block45,Block46,,"Block45,Block46",1,13,,Block40,Block46,Block47,,"Block46,Block47",1,14
Block40,Block46,Block47,,"Block46,Block47",2,13,,Block41,Block47,Block48,,"Block47,Block48",2,14
Block41,Block48,,,Block48,-3,14,,Block42,Block49,,,Block49,-3,15
Block42,,,,,-2,14,,Block43,,,,,-2,15
Block43,Block49,Block50,Block51,"Block49,Block50,Block51",-1,14,,Block44,Block50,Block51,Block52,"Block50,Block51,Block52",-1,15
Block44,Block51,,,Block51,0,14,,Block45,Block52,,,Block52,0,15
Block45,Block51,Block52,Block53,"Block51,Block52,Block53",1,14,,Block46,Block52,Block53,Block54,"Block52,Block53,Block54",1,15
Block46,,,,,2,14,,Block47,,,,,2,15
Block47,Block54,,,Block54,3,14,,Block48,Block55,,,Block55,3,15
Block48,,,,,-3,15,,Block49,,,,,-3,16
Block49,Block55,Block56,,"Block55,Block56",-2,15,,Block50,Block56,Block57,,"Block56,Block57",-2,16
Block50,,,,,-1,15,,Block51,,,,,-1,16
Block51,Block57,,,Block57,0,15,,Block52,Block58,,,Block58,0,16
Block52,,,,,1,15,,Block53,,,,,1,16
Block53,Block58,Block59,,"Block58,Block59",2,15,,Block54,Block59,Block60,,"Block59,Block60",2,16
Block54,,,,,3,15,,Block55,,,,,3,16
Block55,,,,,-2,16,,Block56,,,,,-2,17
Block56,,,,,-1,16,,Block57,,,,,-1,17
Block57,,,,,0,16,,Block58,,,,,0,17
Block58,,,,,1,16,,Block59,,,,,1,17
Block59,,,,,2,16,,Block60,,,,,2,17
Block60,,,,,,,,,,,,,,
