A,B,C,D,,,
Windk01,Windk02,,,Windk02,0,0
Windk02,Windk04,,,Windk04,0,1
Windk03,Windk07,,,Windk07,-1,2
Windk04,Windk03,Windk05,Windk06,"Windk03,Windk05,Windk06",0,2
Windk05,Windk09,,,Windk09,1,2
Windk06,Windk08,,,Windk08,0,3
Windk07,Windk10,,,Windk10,-1,4
Windk08,Windk11,,,Windk11,0,5
Windk09,Windk12,Windk16,,"Windk12,Windk16",1,5
Windk10,Windk13,Windk14,,"Windk13,Windk14",-1,6
Windk11,Windk15,,,Windk15,0,6
Windk12,Windk17,,,Windk17,2,6
Windk13,Windk21,,,Windk21,-2,7
Windk14,Windk18,,,Windk18,-1,7
Windk15,Windk19,,,Windk19,0,7
Windk16,Windk20,,,Windk20,1,7
Windk17,Windk20,,,Windk20,2,7
Windk18,Windk22,,,Windk22,-1,8
Windk19,Windk22,,,Windk22,0,8
Windk20,Windk23,,,Windk23,2,8
Windk21,Windk27,,,Windk27,-2,9
Windk22,Windk24,,,Windk24,-1,9
Windk23,Windk25,Windk26,,"Windk25,Windk26",1,9
Windk24,Windk28,,,Windk28,-1,10
Windk25,Windk29,Windk30,,"Windk29,Windk30",0,10
Windk26,Windk30,,,Windk30,2,10
Windk27,,,,,-2,11
Windk28,,,,,-1,11
Windk29,,,,,0,11
Windk30,,,,,1,11
